zip	primary_city	acceptable_cities	unacceptable_cities	state	county
00501	Holtsville		I R S Service Center	NY	Suffolk County
00544	Holtsville		Irs Service Center	NY	Suffolk County
00601	Adjuntas		Colinas Del Gigante, Jard De Adjuntas, Urb San Joaquin	PR	Adjuntas Municipio
00602	Aguada		Alts De Aguada, Bo Guaniquilla, Comunidad Las Flores, Ext Los Robles, Urb Isabel La Catolica	PR	Aguada Municipio
00603	Aguadilla	Ramey	Bda Caban, Bda Esteves, Bo Borinquen, Bo Ceiba Baja, Ext El Prado, Ext Marbella, Repto Jimenez, Repto Juan Aguiar, Repto Lopez, Repto Tres Palmas, Sect Las Villas, Urb Borinquen, Urb El Prado, Urb Esteves, Urb Garcia, Urb Las Americas, Urb Las Casitas Country Club, Urb Maleza Gdns, Urb Marbella, Urb Ramey, Urb Rubianes, Urb San Carlos, Urb Santa Marta, Urb Victoria, Villa Alegria, Villa Linda, Villa Lydia, Villa Universitaria, Villas De Almeria, Vista Alegre, Vista Verde	PR	Aguadilla Municipio
00604	Aguadilla	Ramey		PR	
00605	Aguadilla			PR	
00606	Maricao		Urb San Juan Bautista	PR	Maricao Municipio
00610	Anasco		Brisas De Anasco, Est De Valle Verde, Jard De Anasco, Paseo Del Valle, Repto Daguey, Urb San Antonio	PR	Añasco Municipio
00611	Angeles			PR	
00612	Arecibo		Alt De Juncos, Alt De San Felipe, Bda Duhamel, Bo El Pasaje, Bo Islote, Bo Islote Ii, Bo Jarealitos, Bo Obrero, Bo Santana, Comunidad Buenos Aires, Est De Arecibo, Est De Balseiro, Ext Marisol, Ext Tanama, Ext Villa Los Santos I, Ext Villa Los Santos Ii, Hacienda Toledo, Jard De Arecibo, Jard De San Rafael, Parc Mattey, Parc Navas, Parc Perez, Parc Rodriguez Olmo, Parq De Jardines, Paseos Reales, Repto Marquez, Repto San Jose, Repto San Juan, Sect Abra, Sect El Cano, Sect Las Animas, Sect Muelle, Urb Arecibo Gdns, Urb College Park Iv, Urb Costas Del Atlantico, Urb El Paraiso, Urb Factor, Urb Garcia, Urb Garden View, Urb La Mucura, Urb Las Brisas, Urb Los Llanos, Urb Los Pinos, Urb Los Pinos Ii, Urb Marisol, Urb Martell, Urb Ocean Vw, Urb Radioville, Urb Regional, Urb San Daniel, Urb San Felipe, Urb San Lorenzo, Urb Tanama, Urb University Gdns, Urb Victor Rojas 1, Urb Victor Rojas 2, Urb Villamar, Urb Zeno Gandia, Valle Escondido, Villa Los Santos, Villa Lucia, Villa Serena, Villa Toledo, Villas Del Capitan, Villas Del Sol, Vista Azul, Vista Del Atlantico	PR	Arecibo Municipio
00613	Arecibo			PR	
00614	Arecibo			PR	
00616	Bajadero		Brisas Del Valle	PR	Arecibo Municipio
